Order_ID,Customer_ID,Order_Date
ORD_00102406,CUST_013738,2023-01-01
ORD_00102902,CUST_011726,2023-01-01
ORD_00103864,CUST_010891,2023-01-01
ORD_00103560,CUST_011452,2023-01-01
ORD_00100632,CUST_010886,2023-01-02
ORD_00103733,CUST_010410,2023-01-02
ORD_00103814,CUST_011600,2023-01-02
ORD_00104082,CUST_012368,2023-01-02
ORD_00102022,CUST_014778,2023-01-02
ORD_00104782,CUST_010262,2023-01-02
ORD_00100626,CUST_011456,2023-01-02
ORD_00103622,CUST_011615,2023-01-03
ORD_00101482,CUST_014005,2023-01-03
ORD_00103766,CUST_013862,2023-01-03
ORD_00103883,CUST_014608,2023-01-04
ORD_00103674,CUST_013835,2023-01-04
ORD_00104963,CUST_010934,2023-01-04
ORD_00104506,CUST_013629,2023-01-04
ORD_00104918,CUST_011705,2023-01-05
ORD_00102567,CUST_010104,2023-01-05
ORD_00104812,CUST_014197,2023-01-05
ORD_00104720,CUST_011361,2023-01-05
ORD_00103988,CUST_013358,2023-01-05
ORD_00104397,CUST_011079,2023-01-05
ORD_00100866,CUST_014710,2023-01-05
ORD_00104696,CUST_013508,2023-01-06
ORD_00103525,CUST_012294,2023-01-06
ORD_00102230,CUST_013331,2023-01-06
ORD_00102305,CUST_013066,2023-01-06
ORD_00100470,CUST_010750,2023-01-06
ORD_00102421,CUST_013418,2023-01-06
ORD_00103304,CUST_011609,2023-01-06
ORD_00101379,CUST_010373,2023-01-06
ORD_00103082,CUST_014336,2023-01-06
ORD_00104340,CUST_014113,2023-01-06
ORD_00104775,CUST_010841,2023-01-06
ORD_00103870,CUST_011369,2023-01-07
ORD_00102557,CUST_012577,2023-01-07
ORD_00100397,CUST_012033,2023-01-07
ORD_00100967,CUST_012473,2023-01-07
ORD_00100104,CUST_013908,2023-01-07
ORD_00103600,CUST_014512,2023-01-07
ORD_00104485,CUST_012002,2023-01-07
ORD_00100479,CUST_012496,2023-01-07
ORD_00104400,CUST_012379,2023-01-07
ORD_00102183,CUST_011599,2023-01-07
ORD_00104545,CUST_010047,2023-01-08
ORD_00101787,CUST_013993,2023-01-08
ORD_00101940,CUST_013243,2023-01-08
ORD_00104099,CUST_011939,2023-01-08
ORD_00100917,CUST_011895,2023-01-08
ORD_00103425,CUST_013978,2023-01-08
ORD_00102730,CUST_014027,2023-01-08
ORD_00100847,CUST_014258,2023-01-08
ORD_00100925,CUST_013592,2023-01-09
ORD_00101907,CUST_014595,2023-01-09
ORD_00103596,CUST_011468,2023-01-09
ORD_00104451,CUST_013556,2023-01-09
ORD_00104972,CUST_012004,2023-01-09
ORD_00103994,CUST_011754,2023-01-09
ORD_00101551,CUST_013022,2023-01-09
ORD_00100056,CUST_010595,2023-01-10
ORD_00104497,CUST_014982,2023-01-10
ORD_00101766,CUST_012123,2023-01-10
ORD_00103553,CUST_011498,2023-01-10
ORD_00101713,CUST_013239,2023-01-10
ORD_00101976,CUST_011002,2023-01-10
ORD_00104151,CUST_013935,2023-01-10
ORD_00101593,CUST_012504,2023-01-10
ORD_00103782,CUST_011916,2023-01-10
ORD_00100390,CUST_010307,2023-01-10
ORD_00100066,CUST_014595,2023-01-10
ORD_00103817,CUST_011362,2023-01-11
ORD_00100129,CUST_014554,2023-01-11
ORD_00101989,CUST_010392,2023-01-11
ORD_00101773,CUST_014038,2023-01-11
ORD_00102279,CUST_011388,2023-01-11
ORD_00102069,CUST_013191,2023-01-12
ORD_00102744,CUST_010410,2023-01-12
ORD_00101055,CUST_011740,2023-01-12
ORD_00104982,CUST_014218,2023-01-12
ORD_00102891,CUST_011360,2023-01-12
ORD_00103583,CUST_012851,2023-01-12
ORD_00100797,CUST_013057,2023-01-12
ORD_00102805,CUST_013201,2023-01-12
ORD_00103486,CUST_010997,2023-01-12
ORD_00104881,CUST_013648,2023-01-13
ORD_00101842,CUST_011125,2023-01-13
ORD_00100883,CUST_010069,2023-01-13
ORD_00102677,CUST_013654,2023-01-13
ORD_00102135,CUST_014981,2023-01-13
ORD_00104029,CUST_014613,2023-01-13
ORD_00104023,CUST_013891,2023-01-13
ORD_00100449,CUST_013370,2023-01-13
ORD_00102026,CUST_013759,2023-01-14
ORD_00103707,CUST_011217,2023-01-14
ORD_00102692,CUST_014019,2023-01-14
ORD_00104780,CUST_012326,2023-01-14
ORD_00101843,CUST_010902,2023-01-14
ORD_00100954,CUST_010581,2023-01-14
ORD_00101796,CUST_014097,2023-01-14
ORD_00103188,CUST_010616,2023-01-15
ORD_00100394,CUST_011526,2023-01-15
ORD_00104199,CUST_014503,2023-01-15
ORD_00102960,CUST_011641,2023-01-15
ORD_00101127,CUST_012105,2023-01-15
ORD_00101924,CUST_012593,2023-01-15
ORD_00101203,CUST_012287,2023-01-15
ORD_00102608,CUST_014660,2023-01-15
ORD_00103898,CUST_011938,2023-01-15
ORD_00101929,CUST_014726,2023-01-15
ORD_00101898,CUST_010798,2023-01-16
ORD_00103502,CUST_013762,2023-01-16
ORD_00104156,CUST_010612,2023-01-16
ORD_00103197,CUST_011201,2023-01-16
ORD_00102164,CUST_013720,2023-01-16
ORD_00104675,CUST_010852,2023-01-16
ORD_00101077,CUST_010938,2023-01-16
ORD_00103482,CUST_010959,2023-01-16
ORD_00100460,CUST_012577,2023-01-17
ORD_00104937,CUST_012180,2023-01-17
ORD_00100538,CUST_013765,2023-01-17
ORD_00100440,CUST_011196,2023-01-17
ORD_00103029,CUST_014608,2023-01-17
ORD_00104751,CUST_012535,2023-01-17
ORD_00100838,CUST_010890,2023-01-17
ORD_00103205,CUST_014479,2023-01-17
ORD_00101422,CUST_010917,2023-01-17
ORD_00104389,CUST_010969,2023-01-18
ORD_00101695,CUST_012640,2023-01-18
ORD_00103331,CUST_011022,2023-01-18
ORD_00100131,CUST_013672,2023-01-18
ORD_00104957,CUST_013089,2023-01-18
ORD_00101306,CUST_014478,2023-01-19
ORD_00103717,CUST_011124,2023-01-19
ORD_00103893,CUST_010502,2023-01-19
ORD_00103123,CUST_013495,2023-01-19
ORD_00104439,CUST_011203,2023-01-19
ORD_00102950,CUST_012725,2023-01-19
ORD_00101983,CUST_012336,2023-01-19
ORD_00103521,CUST_014707,2023-01-19
ORD_00101431,CUST_014328,2023-01-20
ORD_00101503,CUST_011915,2023-01-20
ORD_00103904,CUST_013931,2023-01-20
ORD_00100708,CUST_013305,2023-01-20
ORD_00102646,CUST_013665,2023-01-21
ORD_00102217,CUST_013403,2023-01-21
ORD_00104147,CUST_013868,2023-01-21
ORD_00101426,CUST_013863,2023-01-21
ORD_00100635,CUST_012416,2023-01-21
ORD_00102797,CUST_013523,2023-01-22
ORD_00100216,CUST_014892,2023-01-22
ORD_00100158,CUST_014810,2023-01-22
ORD_00102105,CUST_011866,2023-01-22
ORD_00100034,CUST_012770,2023-01-22
ORD_00101350,CUST_012525,2023-01-22
ORD_00104003,CUST_011611,2023-01-22
ORD_00102295,CUST_011526,2023-01-23
ORD_00103507,CUST_011037,2023-01-23
ORD_00101821,CUST_014128,2023-01-23
ORD_00104321,CUST_012644,2023-01-23
ORD_00104217,CUST_013382,2023-01-23
ORD_00100194,CUST_012419,2023-01-23
ORD_00104866,CUST_010986,2023-01-23
ORD_00101229,CUST_010516,2023-01-23
ORD_00104313,CUST_011729,2023-01-23
ORD_00100409,CUST_012525,2023-01-23
ORD_00102908,CUST_011854,2023-01-23
ORD_00102364,CUST_013349,2023-01-24
ORD_00104133,CUST_010978,2023-01-24
ORD_00101595,CUST_014809,2023-01-24
ORD_00104065,CUST_010022,2023-01-24
ORD_00104070,CUST_010416,2023-01-24
ORD_00103194,CUST_013684,2023-01-24
ORD_00101074,CUST_012560,2023-01-24
ORD_00102844,CUST_011243,2023-01-24
ORD_00100500,CUST_010943,2023-01-24
ORD_00102214,CUST_012470,2023-01-25
ORD_00101053,CUST_010969,2023-01-25
ORD_00102775,CUST_011565,2023-01-25
ORD_00102796,CUST_014611,2023-01-25
ORD_00101891,CUST_011231,2023-01-25
ORD_00102652,CUST_014264,2023-01-25
ORD_00103354,CUST_014828,2023-01-26
ORD_00103677,CUST_010298,2023-01-26
ORD_00100496,CUST_012826,2023-01-26
ORD_00100000,CUST_010913,2023-01-26
ORD_00104979,CUST_012929,2023-01-26
ORD_00101394,CUST_012693,2023-01-27
ORD_00100157,CUST_012052,2023-01-27
ORD_00103393,CUST_013517,2023-01-27
ORD_00103067,CUST_014956,2023-01-27
ORD_00103324,CUST_011280,2023-01-27
ORD_00100240,CUST_014561,2023-01-27
ORD_00103072,CUST_013829,2023-01-27
ORD_00102150,CUST_014844,2023-01-27
ORD_00104602,CUST_011097,2023-01-28
ORD_00103108,CUST_011710,2023-01-28
ORD_00104335,CUST_013684,2023-01-28
ORD_00104241,CUST_011873,2023-01-28
ORD_00103683,CUST_011442,2023-01-28
ORD_00100485,CUST_014507,2023-01-28
ORD_00104684,CUST_011257,2023-01-28
ORD_00102310,CUST_014805,2023-01-28
ORD_00102051,CUST_014579,2023-01-28
ORD_00101884,CUST_012749,2023-01-29
ORD_00102813,CUST_013233,2023-01-29
ORD_00104599,CUST_014937,2023-01-29
ORD_00102182,CUST_011384,2023-01-29
ORD_00103889,CUST_014373,2023-01-29
ORD_00102202,CUST_011924,2023-01-30
ORD_00100127,CUST_012756,2023-01-30
ORD_00104643,CUST_011649,2023-01-30
ORD_00102267,CUST_013028,2023-01-30
ORD_00100909,CUST_011398,2023-01-30
ORD_00100569,CUST_010968,2023-01-31
ORD_00103063,CUST_012767,2023-01-31
ORD_00103348,CUST_014065,2023-01-31
ORD_00104324,CUST_013628,2023-01-31
ORD_00101592,CUST_014575,2023-01-31
ORD_00101301,CUST_011103,2023-01-31
ORD_00101003,CUST_013172,2023-01-31
ORD_00100002,CUST_010261,2023-01-31
ORD_00104501,CUST_011019,2023-01-31
ORD_00103160,CUST_010333,2023-01-31
ORD_00103934,CUST_014378,2023-02-01
ORD_00104576,CUST_013518,2023-02-01
ORD_00104394,CUST_011902,2023-02-01
ORD_00102368,CUST_010531,2023-02-01
ORD_00103147,CUST_013422,2023-02-01
ORD_00103064,CUST_010199,2023-02-01
ORD_00102265,CUST_014688,2023-02-01
ORD_00100418,CUST_010925,2023-02-02
ORD_00104346,CUST_014419,2023-02-02
ORD_00100951,CUST_011464,2023-02-02
ORD_00102780,CUST_014026,2023-02-02
ORD_00103462,CUST_011593,2023-02-03
ORD_00102152,CUST_014774,2023-02-03
ORD_00101942,CUST_013397,2023-02-03
ORD_00104438,CUST_013304,2023-02-03
ORD_00100627,CUST_014649,2023-02-03
ORD_00103771,CUST_011112,2023-02-04
ORD_00101731,CUST_012008,2023-02-04
ORD_00101972,CUST_011371,2023-02-04
ORD_00101539,CUST_010498,2023-02-04
ORD_00104388,CUST_011859,2023-02-04
ORD_00102292,CUST_014821,2023-02-04
ORD_00100605,CUST_011218,2023-02-05
ORD_00104507,CUST_013101,2023-02-05
ORD_00100651,CUST_013235,2023-02-05
ORD_00102315,CUST_013938,2023-02-05
ORD_00100966,CUST_010002,2023-02-05
ORD_00102785,CUST_013845,2023-02-05
ORD_00103681,CUST_011348,2023-02-05
ORD_00100067,CUST_014470,2023-02-06
ORD_00102121,CUST_011163,2023-02-06
ORD_00103243,CUST_010714,2023-02-06
ORD_00101783,CUST_014224,2023-02-06
ORD_00102864,CUST_011604,2023-02-07
ORD_00102137,CUST_013822,2023-02-07
ORD_00104971,CUST_010724,2023-02-07
ORD_00101927,CUST_010799,2023-02-07
ORD_00100283,CUST_014314,2023-02-08
ORD_00102521,CUST_014283,2023-02-08
ORD_00103237,CUST_012205,2023-02-08
ORD_00101620,CUST_013250,2023-02-08
ORD_00104943,CUST_012694,2023-02-08
ORD_00101156,CUST_010008,2023-02-08
ORD_00100209,CUST_010372,2023-02-08
ORD_00100617,CUST_014018,2023-02-08
ORD_00100078,CUST_012175,2023-02-09
ORD_00104742,CUST_011324,2023-02-09
ORD_00103337,CUST_011005,2023-02-09
ORD_00101913,CUST_013724,2023-02-09
ORD_00101803,CUST_013288,2023-02-09
ORD_00100295,CUST_011128,2023-02-09
ORD_00100840,CUST_014914,2023-02-09
ORD_00104489,CUST_012123,2023-02-10
ORD_00102450,CUST_014931,2023-02-10
ORD_00102804,CUST_014585,2023-02-10
ORD_00104955,CUST_010022,2023-02-10
ORD_00104513,CUST_010113,2023-02-10
ORD_00102520,CUST_013226,2023-02-10
ORD_00101163,CUST_014543,2023-02-10
ORD_00103105,CUST_011850,2023-02-10
ORD_00100559,CUST_011768,2023-02-10
ORD_00104057,CUST_013679,2023-02-10
ORD_00101896,CUST_013530,2023-02-10
ORD_00103892,CUST_013758,2023-02-10
ORD_00100774,CUST_011269,2023-02-10
ORD_00102374,CUST_013264,2023-02-10
ORD_00100722,CUST_011432,2023-02-10
ORD_00100781,CUST_011998,2023-02-10
ORD_00102923,CUST_010717,2023-02-11
ORD_00102990,CUST_013307,2023-02-11
ORD_00100361,CUST_014097,2023-02-11
ORD_00101407,CUST_010762,2023-02-11
ORD_00102538,CUST_013626,2023-02-11
ORD_00102839,CUST_010447,2023-02-12
ORD_00104910,CUST_013904,2023-02-12
ORD_00104289,CUST_011498,2023-02-12
ORD_00102177,CUST_011174,2023-02-12
ORD_00100068,CUST_011045,2023-02-12
ORD_00100120,CUST_014637,2023-02-12
ORD_00100342,CUST_014618,2023-02-12
ORD_00101578,CUST_014784,2023-02-12
ORD_00101278,CUST_013533,2023-02-13
ORD_00103839,CUST_010008,2023-02-13
ORD_00100936,CUST_010074,2023-02-13
ORD_00104365,CUST_012526,2023-02-13
ORD_00102070,CUST_013642,2023-02-13
ORD_00102877,CUST_014965,2023-02-13
ORD_00104345,CUST_012445,2023-02-13
ORD_00101397,CUST_012699,2023-02-14
ORD_00103386,CUST_012189,2023-02-14
